title,year,verdict,reason,confidence,majors,budget_usd_today,budget_wikipedia_today,budget_tmdb_today,budget_straddles,budget_raw,budget_source,countries,non_us,companies,company_source,distributor_majors,distributors,wikipedia,wikidata,tmdb,notes
Of Gods and Men,2010,A,"no major studio; budget $5.2M in today's money, tmdb (< $35M)",high,,5200000,,5200000.0,False,tmdb: $4000000,tmdb,France,True,Why Not Productions; Armada Films; France 3 Cinéma,wikipedia:studio,,Mars Distribution,https://en.wikipedia.org/wiki/Of_Gods_and_Men_(film),https://www.wikidata.org/wiki/Q1130313,https://www.themoviedb.org/movie/46332,no budget text
Blow-Up,1966,H,major studio: Metro-Goldwyn-Mayer (Amazon MGM),high,Amazon MGM,13500000,13500000.0,13500000.0,False,"wikipedia: $1.8&nbsp;million<ref name=""time"">[[Richard Corliss|Corliss, | tmdb: $1800000",wikipedia+tmdb,United Kingdom; Italy,True,Metro-Goldwyn-Mayer; Carlo Ponti Productions; Bridge Films,wikipedia:studio,,Metro-Goldwyn-Mayer; Premier Productions (United States); Metro-Goldwyn-Mayer (worldwide),https://en.wikipedia.org/wiki/Blowup,https://www.wikidata.org/wiki/Q658204,https://www.themoviedb.org/movie/1052,
Grand Illusion,1937,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France,True,Réalisation d art cinématographique; Réalisation d Art Cinématographique,wikipedia:studio,,Réalisation d Art Cinématographique,https://en.wikipedia.org/wiki/La_Grande_Illusion,https://www.wikidata.org/wiki/Q470336,https://www.themoviedb.org/movie/777,no budget text
The Music Room,1958,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,India,True,Aurora Film Corporation,wikipedia:studio,,Contemporary Films (UK); Edward Harrison (US),https://en.wikipedia.org/wiki/Jalsaghar,https://www.wikidata.org/wiki/Q640208,https://www.themoviedb.org/movie/822,no budget text
Nights of Cabiria,1957,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Italy,True,DDL Cinematografica; Les Films Marceau,tmdb,,Paramount Pictures (Italy); Les Films Marceau (France),https://en.wikipedia.org/wiki/Nights_of_Cabiria,https://www.wikidata.org/wiki/Q18405,https://www.themoviedb.org/movie/19426,no budget text
Wild Strawberries,1957,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Sweden,True,SF Studios,wikidata:P272,,AB Svensk Filmindustri,https://en.wikipedia.org/wiki/Wild_Strawberries_(film),https://www.wikidata.org/wiki/Q239756,https://www.themoviedb.org/movie/614,no budget text
Babette's Feast,1987,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Denmark; France,True,Nordisk Film,wikipedia:studio,,Netflix,https://en.wikipedia.org/wiki/Babette's_Feast,https://www.wikidata.org/wiki/Q797679,https://www.themoviedb.org/movie/11832,no budget text
Big Night,1996,A,"no major studio; budget $8.2M in today's money, avg of 2 sources (< $35M)",high,,8200000,8199999.999999999,8200000.0,False,wikipedia: $4.1 million<ref>{{cite news|url=https://www.theguardian.com | tmdb: $4100000,wikipedia+tmdb,United States,False,Rysher Entertainment; Timpano Production,wikipedia:studio,,The Samuel Goldwyn Company,https://en.wikipedia.org/wiki/Big_Night,https://www.wikidata.org/wiki/Q859143,https://www.themoviedb.org/movie/18203,no budget text
Hardware,1990,A,"no major studio; budget $3.0M in today's money, avg of 2 sources (< $35M)",high,,3000000,3000000.0,3000000.0,False,"wikipedia: £960,000<ref>HARDWARE Blu-ray Disc (Director's commentary)</ | tmdb: $1500000",wikipedia+tmdb,United Kingdom; United States,False,British Satellite Broadcasting; British Screen; Stephen Woolley#Palace Video and Palace Pictures; Palace Productions; Wicked Films,wikipedia:studio,,Palace Pictures (United Kingdom); Miramax; Millimeter (United States),https://en.wikipedia.org/wiki/Hardware_(film),https://www.wikidata.org/wiki/Q1230682,https://www.themoviedb.org/movie/11309,no budget text
A Visitor to a Museum,1989,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Germany; Soviet Union; Switzerland,True,"Lenfilm; Kinostudiya ""Lenfilm""; State Committee for Cinematography; Goskino SSSR; CSM Filmproduktion AG; ZDF",wikipedia:studio,,,https://en.wikipedia.org/wiki/A_Visitor_to_a_Museum,https://www.wikidata.org/wiki/Q4373649,https://www.themoviedb.org/movie/73922,no budget text
Triangle,2009,A,"no major studio; budget $19.2M in today's money, avg of 2 sources (< $35M)",high,,19200000,19200000.0,19200000.0,False,wikipedia: $12 million<ref name=numbers>{{cite web|url=https://www.the- | tmdb: $12000000,wikipedia+tmdb,United Kingdom; Australia,True,UK Film Council; Dan Films (UK),wikipedia:studio,,Icon Productions; Icon Film Distribution,https://en.wikipedia.org/wiki/Triangle_(2009_British_film),https://www.wikidata.org/wiki/Q1783930,https://www.themoviedb.org/movie/26466,no budget text
The Big Heat,1953,H,major studio: Columbia Pictures (Sony),high,Sony,,,,False,,,United States,False,Columbia Pictures,wikipedia:studio,,Columbia Pictures,https://en.wikipedia.org/wiki/The_Big_Heat,https://www.wikidata.org/wiki/Q1093085,https://www.themoviedb.org/movie/14580,
The Devils,1971,A,"no major studio; budget $11.0M in today's money, tmdb (< $35M)",high,,11000000,,11000000.0,False,tmdb: $2000000,tmdb,United Kingdom,True,Russo Productions,wikipedia:studio,,Warner Bros. Pictures; Warner Bros,https://en.wikipedia.org/wiki/The_Devils_(film),https://www.wikidata.org/wiki/Q655996,https://www.themoviedb.org/movie/31767,no budget text
Army of Shadows,1969,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Italy,True,Les Films Corona; Fono Roma,wikipedia:studio,,Valoria Films (France); Fida Cinematografica (Italy),https://en.wikipedia.org/wiki/Army_of_Shadows,https://www.wikidata.org/wiki/Q681225,https://www.themoviedb.org/movie/15383,no budget text
The Death of Mr. Lazarescu,2005,A,"no major studio; budget $0.6M in today's money, avg of 2 sources (< $35M)",high,,614400,604800.0,624000.0,False,"wikipedia: €350,000 | tmdb: $390000",wikipedia+tmdb,Romania,True,Mandragora Movies,wikidata:P272,,Palisades Tartan; Tartan USA,https://en.wikipedia.org/wiki/The_Death_of_Mr._Lazarescu,https://www.wikidata.org/wiki/Q1197442,https://www.themoviedb.org/movie/31032,no budget text
Bait,2019,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United Kingdom,True,Early Day Films,wikipedia:studio,,British Film Institute; BFI Films,https://en.wikipedia.org/wiki/Bait_(2019_film),https://www.wikidata.org/wiki/Q61889586,https://www.themoviedb.org/movie/576069,no budget text
The Wages of Fear,1953,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Italy,True,Vera Film; Filmsonor; C.I.C.C; Fono Roma,wikipedia:studio,,Cinédis (France); CEI Incom (Italy),https://en.wikipedia.org/wiki/The_Wages_of_Fear,https://www.wikidata.org/wiki/Q465773,https://www.themoviedb.org/movie/204,no budget text
Brawl in Cell Block 99,2017,A,"no major studio; budget $9.1M in today's money, avg of 2 sources (< $35M)",high,,9100000,5200000.0,13000000.0,False,"wikipedia: $4 million<ref name="":9""/> | tmdb: $10000000",wikipedia+tmdb,United States,False,Assemble Media; Cinestate; Caliber Media Company; Realmbuilders Productions; XYZ Films,wikipedia:studio,,RLJE Films,https://en.wikipedia.org/wiki/Brawl_in_Cell_Block_99,https://www.wikidata.org/wiki/Q27701435,https://www.themoviedb.org/movie/398175,no budget text
Man on the Roof,1976,A,"no major studio; budget $2.4M in today's money, avg of 2 sources (< $35M)",high,,2365000,2090000.0,2640000.0,False,wikipedia: 4 million [[Swedish krona|SEK]] | tmdb: $480000,wikipedia+tmdb,Sweden,True,"SF Studios, Swedish Film Institute, Bo Widerberg Film AB",wikipedia:studio,,"SF Studios, Swedish Film Institute",https://en.wikipedia.org/wiki/The_Man_on_the_Roof,https://www.wikidata.org/wiki/Q1195466,https://www.themoviedb.org/movie/25699,no budget text
Mikey and Nicky,1976,H,"US film before 1980, major as distributor and so its financier: Paramount Pictures (Paramount)",medium,,23650000,23650000.0,23650000.0,False,wikipedia: $4.3 million | tmdb: $4300000,wikipedia+tmdb,United States,False,Castle Hill Productions,wikipedia:studio,Paramount,Paramount Pictures,https://en.wikipedia.org/wiki/Mikey_and_Nicky,https://www.wikidata.org/wiki/Q3313626,https://www.themoviedb.org/movie/59143,
Mogul Mowgli,2020,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United Kingdom; United States,False,Vice Media#Pulse Films; Pulse Films; Riz Ahmed; Left Handed Films; BBC Films; Cinereach; Vice Media; VICE Studios; RYOT Films; Silvertown Films,wikipedia:studio,,British Film Institute; BFI Distribution (United Kingdom); Strand Releasing (United States),https://en.wikipedia.org/wiki/Mogul_Mowgli,https://www.wikidata.org/wiki/Q62595516,https://www.themoviedb.org/movie/665764,no budget text
In the Realm of the Senses,1976,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Japan,True,Oshima Productions; Argos Films; Oceanic,wikipedia:studio,,Toho; Toho-Towa (Japan); Argos Films (France),https://en.wikipedia.org/wiki/In_the_Realm_of_the_Senses,https://www.wikidata.org/wiki/Q510181,https://www.themoviedb.org/movie/5879,no budget text
On the Silver Globe,1988,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Poland,True,KADR (studio); KADR,wikipedia:studio,,Przedsiębiorstwo Dystrybucji Filmów,https://en.wikipedia.org/wiki/On_the_Silver_Globe_(film),https://www.wikidata.org/wiki/Q1988165,https://www.themoviedb.org/movie/27072,wikipedia: currency not convertible: PLN before its 1995 redenomination
Cries and Whispers,1972,A,"no major studio; budget $2.3M in today's money, avg of 2 sources (< $35M)",high,,2337500,2475000.0,2200000.0,False,"wikipedia: $450,000{{sfn|Shargel|2007|p=133}} | tmdb: $400000",wikipedia+tmdb,Sweden,True,AB Svensk Filmindustri; Svensk Filmindustri,wikipedia:studio,,Svensk Filmindustri,https://en.wikipedia.org/wiki/Cries_and_Whispers,https://www.wikidata.org/wiki/Q830874,https://www.themoviedb.org/movie/10238,no budget text
Belle de Jour,1967,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Italy,True,Paris Film Production; Five Film,wikipedia:studio,,Valoria (France); Euro International Films (Italy),https://en.wikipedia.org/wiki/Belle_de_Jour_(film),https://www.wikidata.org/wiki/Q470375,https://www.themoviedb.org/movie/649,no budget text
That Obscure Object of Desire,1977,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Spain,True,Greenwich Film Productions; Les Films Galaxie; InCine,wikipedia:studio,,GEF-CCFC (France); InCine (Spain),https://en.wikipedia.org/wiki/That_Obscure_Object_of_Desire,https://www.wikidata.org/wiki/Q1138798,https://www.themoviedb.org/movie/5781,no budget text
Night Moves,1975,H,"US film before 1980, major as distributor and so its financier: Warner Bros Pictures (Warner), Warner Bros (Warner)",medium,,,,,False,,,United States,False,"Hiller Productions, Ltd. &ndash; Layton",wikipedia:studio,Warner,Warner Bros. Pictures; Warner Bros,https://en.wikipedia.org/wiki/Night_Moves_(1975_film),https://www.wikidata.org/wiki/Q1218655,https://www.themoviedb.org/movie/32042,
The Third Part of the Night,1971,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Poland,True,"Zespół Filmowy ""Wektor""",wikipedia:studio,,Centrala Wynajmu Filmów,https://en.wikipedia.org/wiki/The_Third_Part_of_the_Night,https://www.wikidata.org/wiki/Q64148,https://www.themoviedb.org/movie/46799,no budget text
Coraline,2009,H,"no major studio, but budget $96.0M in today's money, avg of 2 sources (> $35M)",high,,96000000,96000000.0,96000000.0,False,"wikipedia: $60 million<ref name=""mojo"">{{cite web |url=https://www.boxo | tmdb: $60000000",wikipedia+tmdb,United States,False,"Laika, LLC; Laika; Pandemonium Films",wikipedia:studio,,Focus Features (United States); Universal Pictures (International),https://en.wikipedia.org/wiki/Coraline_(film),https://www.wikidata.org/wiki/Q632668,https://www.themoviedb.org/movie/14836,no budget text
Mysterious Skin,2004,A,"no major studio; budget $4.8M in today's money, tmdb (< $35M)",high,,4800000,,4800000.0,False,tmdb: $3000000,tmdb,Netherlands; United States,False,Fortissimo Films; Antidote Films; Desperate Pictures,wikipedia:studio,,Tartan Films (United Kingdom); TLA Releasing (United States); 1More Film (Netherlands),https://en.wikipedia.org/wiki/Mysterious_Skin,https://www.wikidata.org/wiki/Q1421068,https://www.themoviedb.org/movie/11171,no budget text
10 Things I Hate About You,1999,H,major studio: Touchstone Pictures (Disney),high,Disney,29000000,26000000.0,32000000.0,False,wikipedia: $13 million<ref name=NUM>{{cite The Numbers |id=10-Things-I- | tmdb: $16000000,wikipedia+tmdb,United States,False,Touchstone Pictures; Mad Chance; Jaret Entertainment,wikipedia:studio,,Buena Vista Pictures Distribution,https://en.wikipedia.org/wiki/10_Things_I_Hate_About_You,https://www.wikidata.org/wiki/Q169082,https://www.themoviedb.org/movie/4951,
Point Blank,1967,H,"US film before 1980, major as distributor and so its financier: Metro-Goldwyn-Mayer (Amazon MGM)",medium,,18750000,18750000.0,18750000.0,False,wikipedia: $2.5 million<ref name=irwin>{{cite news|title=CHARTOFF AND W | tmdb: $2500000,wikipedia+tmdb,United States,False,Judd Bernard-Irwin Winkler Production,wikipedia:studio,Amazon MGM,Metro-Goldwyn-Mayer,https://en.wikipedia.org/wiki/Point_Blank_(1967_film),https://www.wikidata.org/wiki/Q595047,https://www.themoviedb.org/movie/26039,
