title,year,verdict,reason,confidence,majors,budget_usd_today,budget_wikipedia_today,budget_tmdb_today,budget_straddles,budget_raw,budget_source,countries,non_us,companies,company_source,wikipedia,wikidata,tmdb,notes
Brazil,1985,H,"no major studio, but budget $45.0M in today's money, tmdb (> $35M)",high,,45000000,,45000000.0,False,tmdb: $15000000,tmdb,United Kingdom; United States of America,False,Embassy International Pictures,tmdb,,,https://www.themoviedb.org/movie/68,no budget text
The Hunger Games,2012,H,"no major studio, but budget $97.5M in today's money, tmdb (> $35M)",high,,97500000,,97500000.0,False,tmdb: $75000000,tmdb,United States,False,Color Force,wikidata:P272,https://en.wikipedia.org/wiki/The_Hunger_Games_(franchise),https://www.wikidata.org/wiki/Q11885031,https://www.themoviedb.org/movie/70160,no budget text
Moonlight,2016,A,"no major studio; budget $5.2M in today's money, avg of 2 sources (< $35M)",high,,5200000,5200000.0,5200000.0,False,wikipedia: $1.5–4 million<ref>{{cite tweet |user=BarryJenkins |number=9 | tmdb: $4000000,wikipedia+tmdb,United States,False,A24; Plan B Entertainment; Pastel Productions,wikipedia:studio,https://en.wikipedia.org/wiki/Moonlight_(2016_film),https://www.wikidata.org/wiki/Q21527875,https://www.themoviedb.org/movie/376867,no budget text
The Grand Budapest Hotel,2014,H,"no major studio, but budget $35.8M in today's money, avg of 2 sources (> $35M)",medium,,35750000,32500000.0,39000000.0,True,"wikipedia: $25&nbsp;million<ref name=""BOM"">{{Cite Box Office Mojo |id=2 | tmdb: $30000000",wikipedia+tmdb,United States; Germany,False,Searchlight Pictures; Fox Searchlight Pictures; Indian Paintbrush (company); Indian Paintbrush; Studio Babelsberg; American Empirical Pictures,wikipedia:studio,https://en.wikipedia.org/wiki/The_Grand_Budapest_Hotel,https://www.wikidata.org/wiki/Q3521099,https://www.themoviedb.org/movie/120467,sources disagree across the threshold; no budget text
Blow-Up,1966,H,major studio: Metro-Goldwyn-Mayer (Amazon MGM),high,Amazon MGM,,,,False,,,United Kingdom; Italy,True,Metro-Goldwyn-Mayer; Carlo Ponti Productions; Bridge Films,wikipedia:studio,https://en.wikipedia.org/wiki/Blowup,https://www.wikidata.org/wiki/Q658204,https://www.themoviedb.org/movie/1052,
Get Out,2017,A,"no major studio; budget $5.8M in today's money, avg of 2 sources (< $35M)",high,,5850000,5850000.0,5850000.0,False,wikipedia: $4.5&nbsp;million<ref name=BOM /> | tmdb: $4500000,wikipedia+tmdb,Japan; United States,False,Blumhouse Productions; QC Entertainment; Monkeypaw Productions,wikipedia:studio,https://en.wikipedia.org/wiki/Get_Out,https://www.wikidata.org/wiki/Q25136235,https://www.themoviedb.org/movie/419430,no budget text
Roma,2018,A,"no major studio; budget $19.5M in today's money, avg of 2 sources (< $35M)",high,,19500000,19500000.0,19500000.0,False,wikipedia: $15&nbsp;million<ref>{{cite web|url=https://www.indiewire.co | tmdb: $15000000,wikipedia+tmdb,United States; Mexico,False,Espectáculos Fílmicos El Coyúl; Pimienta Films; Participant (company); Participant Media; Esperanto Filmoj; Esperanto-Filmoj,wikipedia:studio,https://en.wikipedia.org/wiki/Roma_(2018_film),https://www.wikidata.org/wiki/Q27959455,https://www.themoviedb.org/movie/426426,no budget text
Citizen Kane,1941,H,major studio: RKO Radio Pictures (RKO),high,RKO,,,,False,,,United States,False,RKO Radio Pictures; Mercury Theatre; Mercury Productions,wikipedia:studio,https://en.wikipedia.org/wiki/Citizen_Kane,https://www.wikidata.org/wiki/Q24815,https://www.themoviedb.org/movie/15,
Parasite,2019,A,"no major studio; budget $14.8M in today's money, avg of 2 sources (< $35M)",high,,14795950,14820000.0,14771900.0,False,wikipedia: [[South Korean won|₩]]13.5 billion<br />([[United States dol | tmdb: $11363000,wikipedia+tmdb,South Korea,True,Barunson E&A,wikipedia:studio,https://en.wikipedia.org/wiki/Parasite_(2019_film),https://www.wikidata.org/wiki/Q61448040,https://www.themoviedb.org/movie/496243,no budget text
Everything Everywhere All at Once,2022,A,"no major studio; budget $28.7M in today's money, avg of 2 sources (< $35M)",medium,,28750000,28749999.999999996,28749999.999999996,False,"wikipedia: $14–25 million<ref name=""100-million""/><ref>{{cite news|last | tmdb: $25000000",wikipedia+tmdb,United States,False,A24; AGBO; Gozie AGBO; Ley Line Entertainment; Year of the Rat; IAC (company); IAC Films,wikipedia:studio,https://en.wikipedia.org/wiki/Everything_Everywhere_All_at_Once,https://www.wikidata.org/wiki/Q83808444,https://www.themoviedb.org/movie/545611,no budget text
