title,year,verdict,reason,confidence,majors,budget_usd_today,budget_wikipedia_today,budget_tmdb_today,budget_straddles,budget_raw,budget_source,countries,non_us,companies,company_source,wikipedia,wikidata,tmdb,notes
Dune: Part Three,2026,?,not yet released and no budget published; step 2 cannot be applied,none,,,,,False,,,United States,False,Legendary Pictures,wikipedia:studio,https://en.wikipedia.org/wiki/Dune:_Part_Three,https://www.wikidata.org/wiki/Q124714245,https://www.themoviedb.org/movie/1170608,no budget text
Werwulf,2026,H,major studio: Working Title Films (Universal),high,Universal,,,,False,,,United States; United Kingdom,False,Focus Features; Working Title Films; Chris Columbus (filmmaker); Maiden Voyage Pictures,wikipedia:studio,https://en.wikipedia.org/wiki/Werwulf,https://www.wikidata.org/wiki/Q131853471,https://www.themoviedb.org/movie/1421903,
The Further Mis-Adventures of Cliff Booth,2026,H,"no major studio, but budget $200.0M in today's money, avg of 2 sources (> $35M)",high,,200000000,200000000.0,200000000.0,False,"wikipedia: $200{{nbsp}}million<ref name=""Budget"">{{Cite web |last=Perez | tmdb: $200000000",wikipedia+tmdb,United States,False,Plan B Entertainment; Heyday Films; Panic Pictures,wikipedia:studio,https://en.wikipedia.org/wiki/The_Further_Mis-Adventures_of_Cliff_Booth,https://www.wikidata.org/wiki/Q134236545,https://www.themoviedb.org/movie/1457866,no budget text
Digger,2026,H,"no major studio, but budget $127.5M in today's money, avg of 2 sources (> $35M)",high,,127500000,125000000.0,130000000.0,False,"wikipedia: $125 million<ref name=""Belloni""/> | tmdb: $130000000",wikipedia+tmdb,United States; United Kingdom; Mexico,False,Legendary Pictures; TC Productions,wikipedia:studio,https://en.wikipedia.org/wiki/Digger_(2026_film),https://www.wikidata.org/wiki/Q129677718,https://www.themoviedb.org/movie/1248832,no budget text
Minotaur,2026,?,not yet released and no budget published; step 2 cannot be applied,none,,,,,False,,,Latvia; France; Germany; Switzerland,True,MK Productions; CG Cinéma; Razor Film Produktion; Forma Pro Films; ARTE France Cinéma; ZDF; whiz movies,tmdb,,,https://www.themoviedb.org/movie/848700,no budget text
Fjord,2026,A,"no major studio; budget $4.8M in today's money, tmdb (< $35M)",high,,4750000,,4750000.0,False,tmdb: $4750000,tmdb,Romania; Norway; France; Finland; Denmark; Sweden,True,Mobra Films; Why Not Productions; Eye Eye Pictures; Snowglobe; Aamu Film Company; Garagefilm International; Film i Väst; France 3 Cinéma; Goodfellas,tmdb,,,https://www.themoviedb.org/movie/1401459,no budget text
Tony,2026,A,"no major studio; budget $15.0M in today's money, tmdb (< $35M)",high,,15000000,,15000000.0,False,tmdb: $15000000,tmdb,United States of America; Canada,False,Star Thrower Entertainment; Zapruder Films; A24,tmdb,,,https://www.themoviedb.org/movie/1329016,no budget text
Primetime,2026,?,not yet released and no budget published; step 2 cannot be applied,none,,,,,False,,,United States of America,False,A24; Icki Eneo Arlo; Square Peg; Range Media Partners,tmdb,,,https://www.themoviedb.org/movie/1375441,no budget text
The Debut,2026,?,not yet released and no budget published; step 2 cannot be applied,none,,,,,False,,,United States,False,Fruit Tree (company); Fruit Tree,wikipedia:studio,https://en.wikipedia.org/wiki/The_Debut_(2026_film),https://www.wikidata.org/wiki/Q133885802,https://www.themoviedb.org/movie/1391239,no budget text
Bucking Fastard,2026,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States,False,Providence Road Entertainment; Gateway to Orkney,wikipedia:studio,https://en.wikipedia.org/wiki/Bucking_Fastard,https://www.wikidata.org/wiki/Q133833410,https://www.themoviedb.org/movie/1429713,no budget text
Possible Love,2026,?,not yet released and no budget published; step 2 cannot be applied,none,,,,,False,,,South Korea,True,Pinehouse Film; Anonymous Content; Nowfilm,wikipedia:studio,https://en.wikipedia.org/wiki/Possible_Love,https://www.wikidata.org/wiki/Q137843740,https://www.themoviedb.org/movie/1483525,no budget text
Adolescence,2025,?,no matching film found in any source,none,,,,,False,,,,,,,,,,
Caught Stealing,2025,H,major studio: Columbia Pictures (Sony),high,Sony,,,,False,,,United States,False,Columbia Pictures; Protozoa Pictures,wikipedia:studio,https://en.wikipedia.org/wiki/Caught_Stealing,https://www.wikidata.org/wiki/Q130248726,https://www.themoviedb.org/movie/1245993,
If I Had Legs I'd Kick You,2025,A,"no major studio; budget $1.5M in today's money, tmdb (< $35M)",high,,1500000,,1500000.0,False,tmdb: $1500000,tmdb,United States,False,A24; Central Pictures; Fat City; Bronxburgh,wikipedia:studio,https://en.wikipedia.org/wiki/If_I_Had_Legs_I'd_Kick_You,https://www.wikidata.org/wiki/Q124450734,https://www.themoviedb.org/movie/1160360,no budget text
Father Mother Sister Brother,2025,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,United States; Ireland; France; Italy; Japan,False,Yves Saint Laurent (fashion house); Saint Laurent Productions; Badjetlag; CG Cinéma; The Apartment (production company); The Apartment Pictures; Fremantle (company); Fremantle; Les Films du Losange; Weltkino; Cinema Inutile; Screen Ireland; Fis Éirann / Screen Ireland; Hail Mary Pictures,wikipedia:studio,https://en.wikipedia.org/wiki/Father_Mother_Sister_Brother,https://www.wikidata.org/wiki/Q124364048,https://www.themoviedb.org/movie/1159206,no budget text
