title,year,verdict,reason,confidence,majors,budget_usd_today,budget_wikipedia_today,budget_tmdb_today,budget_straddles,budget_raw,budget_source,countries,non_us,companies,company_source,distributor_majors,distributors,wikipedia,wikidata,tmdb,notes
A Prophet,2009,A,"no major studio; budget $20.8M in today's money, avg of 2 sources (< $35M)",high,,20800000,20800000.0,20800000.0,False,wikipedia: $13 million<ref name=bom/> | tmdb: $13000000,wikipedia+tmdb,France; Italy,True,Why Not Productions; Chic Films; Page 114; France 2 Cinéma; UGC Images; BIM Distribuzione; Celluloid Dreams,wikipedia:studio,,UGC (cinema operator); UGC Distribution (France); BiM Distribuzione (Italy),https://en.wikipedia.org/wiki/A_Prophet,https://www.wikidata.org/wiki/Q1061541,https://www.themoviedb.org/movie/21575,no budget text
The City Below,2010,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,Germany; France,True,Westdeutscher Rundfunk; WDR; Arte,wikipedia:studio,,Piffl Medien,https://en.wikipedia.org/wiki/The_City_Below,https://www.wikidata.org/wiki/Q974460,https://www.themoviedb.org/movie/78400,no budget text
Caught Stealing,2025,H,major studio: Columbia Pictures (Sony),high,Sony,40000000,40000000.0,40000000.0,False,wikipedia: $40{{nbsp}}million | tmdb: $40000000,wikipedia+tmdb,United States,False,Columbia Pictures; Protozoa Pictures,wikipedia:studio,,Sony Pictures Releasing,https://en.wikipedia.org/wiki/Caught_Stealing,https://www.wikidata.org/wiki/Q130248726,https://www.themoviedb.org/movie/1245993,
Mishima: A Life in Four Chapters,1985,H,major studio: Lucasfilm (Disney),high,Disney,15000000,15000000.0,15000000.0,False,wikipedia: $5 million | tmdb: $5000000,wikipedia+tmdb,Japan; United States,False,American Zoetrope; Zoetrope Studios; Filmlink International; Lucasfilm; Lucasfilm Ltd,wikipedia:studio,,Warner Bros. Pictures; Warner Bros,https://en.wikipedia.org/wiki/Mishima:_A_Life_in_Four_Chapters,https://www.wikidata.org/wiki/Q1740171,https://www.themoviedb.org/movie/27064,
And the Ship Sails On,1983,A,no major studio; no budget figure found (rule: treat as A),low,,,,,False,,,France; Italy,True,Societa Investimenti Milanese (S.I.M.); Gaumont; RAI; Vides Cinematografica,tmdb,,Gaumont Distribution,https://en.wikipedia.org/wiki/And_the_Ship_Sails_On,https://www.wikidata.org/wiki/Q18437,https://www.themoviedb.org/movie/5622,no budget text
Something Wild,1986,A,"no major studio; budget $21.0M in today's money, avg of 2 sources (< $35M)",high,,21000000,21000000.0,21000000.0,False,wikipedia: $7 million<ref>{{Cite web|url=http://catalog.afi.com/Film/57 | tmdb: $7000000,wikipedia+tmdb,United States,False,Orion Pictures; Religioso Primitiva Productions,wikipedia:studio,,Orion Pictures,https://en.wikipedia.org/wiki/Something_Wild_(1986_film),https://www.wikidata.org/wiki/Q644485,https://www.themoviedb.org/movie/11300,no budget text
Adolescence,2025,?,no matching film found in any source,none,,,,,False,,,,,,,,,,,,
Triangle,2009,A,"no major studio; budget $19.2M in today's money, avg of 2 sources (< $35M)",high,,19200000,19200000.0,19200000.0,False,wikipedia: $12 million<ref name=numbers>{{cite web|url=https://www.the- | tmdb: $12000000,wikipedia+tmdb,United Kingdom; Australia,True,UK Film Council; Dan Films (UK),wikipedia:studio,,Icon Productions; Icon Film Distribution,https://en.wikipedia.org/wiki/Triangle_(2009_British_film),https://www.wikidata.org/wiki/Q1783930,https://www.themoviedb.org/movie/26466,no budget text
Yella,2007,A,"no major studio; budget $4.8M in today's money, tmdb (< $35M)",high,,4800000,,4800000.0,False,tmdb: $3000000,tmdb,Germany,True,Schramm Film Koerner & Weber,wikipedia:studio,,Piffl Medien,https://en.wikipedia.org/wiki/Yella_(film),https://www.wikidata.org/wiki/Q1372318,https://www.themoviedb.org/movie/3037,no budget text
Red Rock West,1993,A,"no major studio; budget $15.0M in today's money, avg of 2 sources (< $35M)",high,,15000000,14000000.0,16000000.0,False,wikipedia: $7 million | tmdb: $8000000,wikipedia+tmdb,United States,False,Propaganda Films; PolyGram Filmed Entertainment,wikipedia:studio,,Roxie Theater; Roxie Releasing (United States); PolyGram Filmed Entertainment (International),https://en.wikipedia.org/wiki/Red_Rock_West,https://www.wikidata.org/wiki/Q1518218,https://www.themoviedb.org/movie/10427,no budget text
